,,,accuracy,precision,recall,fscore
English-all,no_balanced,LOGISTIC REGRESION,0.9759461193072483,0.7812502905668977,0.7554033562235745,0.7648208762414272
English-all,no_balanced,DECISION TREE,0.9670087663031859,0.8236084490252169,0.5051009516654593,0.6102321187536244
English-all,no_balanced,KNN 3,0.9747060081248664,0.7966194421252613,0.7293388178075045,0.7556932314524609
English-all,no_balanced,KNN 5,0.9745991019884542,0.7773134555626171,0.7644608271842487,0.7602846687779184
English-all,no_balanced,KNN 7,0.976651699807569,0.7732452307612969,0.8086181186493355,0.7861235996986776
English-all,no_balanced,KNN 9,0.9762668377164848,0.756389571325427,0.8339179736127104,0.7922280185954116
English-all,no_balanced,MOST FREQUEST CLASS,0.9476587556125722,0.0,0.0,0.0
English-all,no_balanced,RANDOM CLASS,0.499379944408809,0.05585392316627117,0.5175703734142745,0.10081485128611253
English-all,balanced,LOGISTIC REGRESION,0.932644534778681,0.9413900431228399,0.9229408785470303,0.9319088540423206
English-all,balanced,DECISION TREE,0.9373306233062332,0.986701782626721,0.8863049903687799,0.9332793006916736
English-all,balanced,KNN 3,0.9732158988256551,0.9818009242819018,0.9643040243777055,0.9729167300372286
English-all,balanced,KNN 5,0.9814588979223127,0.9772360920159949,0.9858871104305782,0.9815134540285744
English-all,balanced,KNN 7,0.9839543812104787,0.9750466899326407,0.9933135622908242,0.9840768548158122
English-all,balanced,KNN 9,0.9832881662149955,0.9723358872147966,0.9948668192541396,0.983454880761504
English-all,balanced,MOST FREQUEST CLASS,0.49617208672086727,0.24836269196025293,0.5,0.33187397298982485
English-all,balanced,RANDOM CLASS,0.5016485998193316,0.5007748495539824,0.5021009068585194,0.5014065779119768
