,,,accuracy,precision,recall,fscore
English-all,no_balanced,LOGISTIC REGRESION,0.945777207611717,0.529948344834358,0.3154485272984562,0.3543592268266
English-all,no_balanced,DECISION TREE,0.9350438315159291,0.3692681930941818,0.29298235564885367,0.3258543485484497
English-all,no_balanced,KNN 3,0.9385503527902502,0.40396460414271057,0.3231261162735374,0.35563940173805925
English-all,no_balanced,KNN 5,0.9417147744280522,0.4383501486000537,0.306512420399493,0.3575609937373341
English-all,no_balanced,KNN 7,0.9445584776566175,0.46700573275823515,0.28003031583915855,0.3481921044379773
English-all,no_balanced,KNN 9,0.9451785332478085,0.47907848543470843,0.2893639698911032,0.3563593924068381
English-all,no_balanced,MOST FREQUEST CLASS,0.9466324567030148,0.0,0.0,0.0
English-all,no_balanced,RANDOM CLASS,0.49724182168056447,0.05379534435689012,0.49741450589635294,0.09706625130809646
English-all,balanced,LOGISTIC REGRESION,0.8765243902439025,0.8704925571097466,0.885266368747398,0.8777961603847917
English-all,balanced,DECISION TREE,0.724390243902439,0.8799014749694077,0.5214506547205009,0.6544218150352968
English-all,balanced,KNN 3,0.7870822041553749,0.8776544531322147,0.664592029028131,0.7561848372947364
English-all,balanced,KNN 5,0.8304539295392954,0.8759846683963455,0.7688931977953031,0.8186690798876647
English-all,balanced,KNN 7,0.8406616982836497,0.8665735611778803,0.8063918870495131,0.8353135638320703
English-all,balanced,KNN 9,0.8558491418247517,0.865054947493137,0.8409093118231755,0.8526218777183692
English-all,balanced,MOST FREQUEST CLASS,0.49682700993676604,0.1991305329719964,0.4,0.26589240571216327
English-all,balanced,RANDOM CLASS,0.5003726287262872,0.5006236367072991,0.5005968076964769,0.5005857058682982
